Order	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E12	E2	E3	E4	E5	E6	E7	E8	E9	F1	F10	F11	F12	F2	F3	F4	F5	F6	F7	F8	F9	G1	G10	G11	G12	G2	G3	G4	G5	G6	G7	G8	G9	H1	H10	H11	H12	H2	H3	H4	H5	H6	H7	H8	H9	ITS1f	ITS4	ITS4-IT	ITS4A	gITS7
Fungi;Basidiomycota;Tremellomycetes;?	5	0	2	0	0	4	0	0	0	0	0	0	2	0	0	0	13	25	59	0	0	0	0	0	0	0	0	0	2	0	61	0	3	0	3	0	8	0	0	0	1	46	24	0	0	0	34	0	0	0	0	0	1	0	21	0	69	40	1	0	1	0	0	0	0	0	41	5	0	0	0	0	1	0	0	0	4	0	0	1	20	75	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	3	0	2	0
Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	288	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	42	0	2	0	0	0	0	0	0	157	0	0	0	1	0	1	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	18	0	0	0	0	0	0	0	9	1	0	0	1	0	0	0	0	4	0	1	0
Fungi;Basidiomycota;Tremellomycetes;Filobasidiales	2	0	0	0	0	3	13	121	1	1	279	46	0	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	7	0	0	0	4	0	0	0	0	0	82	104	16	14	0	2	0	0	7	5	0	0	33	67	10	0	10	1	0	0	0	51	1	0	0	108	0	1	182	16	0	0	0	0	0	873	0	21	0	0	0	4	6	0	0	22	1	54	0	35	0	0	9	0	19	0	7	0
Fungi;Basidiomycota;Tremellomycetes;Tremellales	15	0	0	2	4	24	47	80	846	0	1649	37	1	0	0	0	1	24	31	73	211	66	616	20	6	0	0	0	7	48	51	0	18	0	82	47	7	1	0	0	1	71	51	171	134	0	236	0	1	0	0	19	31	0	25	2	14	115	1	2	24	0	0	0	10	0	85	0	114	19	1	66	27	0	0	0	17	0	2	8	21	252	1	0	1	38	0	0	9	4	79	29	33	72	0	17	0	40	0	7	0
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales	0	0	0	0	6	0	0	1	25	0	92	0	3	0	0	0	1	6	2	0	0	0	8	0	1	0	0	0	3	1	20	0	0	0	0	1	0	4	0	0	2	1	6	64	198	1	21	0	0	0	0	10	14	0	1	0	0	0	0	0	1	0	0	0	5	38	1	2	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	6	0	0	5	232	28	0	3	0	10	0	1	0
Fungi;Basidiomycota;Tremellomycetes;unidentified	0	0	0	6	3	15	37	27	1162	280	0	39	1	5	0	0	6	5	8	691	103	9	85	46	133	0	0	0	0	4	7	623	6	1	4	0	9	40	3	1	0	2	4	20	2165	23	130	530	89	0	0	1	3	1	17	861	463	1	15	0	29	0	0	0	8	5	95	40	725	1	1	32	0	2	0	0	7	185	712	3	8	7	1	0	0	0	0	0	11	1	3	10	3	0	2	16	0	97	0	23	0
Fungi;Basidiomycota;Ustilaginomycetes;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales	6	0	0	0	6	22	0	6	0	0	0	0	1	0	0	0	4	12	61	0	3	0	2	0	11	0	0	0	3	0	8	10	1	0	0	14	1	0	0	0	0	3	14	56	0	10	8	0	12	0	0	5	15	0	2	0	0	29	1	1	8	0	0	0	1	5	33	0	0	0	0	0	8	0	0	0	3	0	0	4	0	15	0	0	0	0	0	0	1	10	0	4	108	8	0	3	0	2	0	2	0
Fungi;Basidiomycota;Wallemiomycetes;Geminibasidiales	45	0	4	119	51	101	4745	415	1595	3337	1070	311	70	0	0	18	3924	77	3668	2634	641	809	105	1616	858	28	1	7	1847	62	2286	740	3009	130	19	2707	329	0	10	2	2508	73	259	3843	8	33	251	9	4273	26	79	422	603	1	2616	12729	3354	14	1301	131	343	0	2	0	77	2840	20565	5977	29278	135	4	514	391	0	4	0	295	231	12	3059	896	374	10	0	1128	14	0	0	260	756	110	3097	1002	319	14	619	0	1237	0	254	0
Fungi;Basidiomycota;Wallemiomycetes;Wallemiales	0	0	0	0	0	0	3	3	0	4	0	0	0	0	0	0	0	1	2	0	3	3	0	0	0	4	0	0	11	0	5	1	387	0	0	0	4	46	3	0	0	1	1	1	2342	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	18	2	0	1	0	1	0	0	0	0	158	1	2	168	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	27	0	5	0
Fungi;Basidiomycota;unidentified;unidentified	3	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	3	6	2	0	0	0	0	0	404	0	0	0	1	0	2	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	296	7	0	1	0	0	0	0	0	0	0	0	2	0	12	1	3	0	11	0	0	0
Fungi;Chytridiomycota;?;?	209	0	6	9	185	424	2200	764	481	207	2455	357	298	9	0	2	412	387	464	6061	2739	554	675	380	473	28	0	9	199	289	647	318	2547	139	39	701	760	8	0	1	233	289	801	1765	381	662	724	2	776	15	30	206	947	0	349	1346	1294	401	69	80	534	0	0	1	157	1336	821	174	1685	1072	5	628	219	0	0	0	223	22	515	971	204	1164	7	0	260	41	0	0	836	741	287	481	473	903	7	158	0	319	0	67	0
Fungi;Chytridiomycota;Chytridiomycetes;?	21	0	2	3	17	70	601	126	33	73	471	100	13	0	0	0	21	301	363	3224	537	63	189	25	99	0	0	3	26	34	714	17	31	47	35	89	172	0	1	0	86	58	147	233	87	83	187	0	95	2	5	43	138	0	127	937	296	65	34	38	48	0	0	0	26	493	447	117	125	440	1	39	24	0	0	0	28	3	3	193	18	234	3	0	57	13	0	0	158	206	59	90	3	91	1	54	0	81	0	7	0
Fungi;Chytridiomycota;Chytridiomycetes;Rhizophlyctidales	1	0	0	0	41	33	1	0	2443	2	0	10	1	1	0	0	7	0	0	1529	1	41	0	0	2	0	0	0	1	2	105	0	4	0	0	0	149	9	0	0	1	0	5	19	309	0	0	0	40	0	0	2	0	0	1	282	0	0	0	0	62	0	0	0	1	7	0	12	2	0	0	0	12	0	0	0	1	1	89	0	1	0	0	0	0	0	0	0	60	1	31	0	4	0	0	1	0	10	0	4	0
Fungi;Chytridiomycota;Chytridiomycetes;Spizellomycetales	13	0	0	0	18	67	0	64	1	17	1	39	2	0	0	0	26	11	1	7	67	0	41	0	195	0	0	0	0	504	21	0	3	0	0	441	22	0	0	1	13	13	27	2	0	0	0	0	21	0	16	1	37	0	15	0	113	14	4	0	4	0	0	0	17	24	93	2	1	95	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	75	0	0	90	0	16	0	4	0	15	0	2	0
Fungi;Chytridiomycota;Monoblepharidomycetes;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Chytridiomycota;unidentified;unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	58	0	0	0	0	0	42	3	0	163	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	2	0	0	1	0	13	0	0	0	0	0	0	0	0	43	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	36	0	0	0	6	0	1	0
Fungi;Glomeromycota;?;?	423	0	0	2	67	1436	12	623	264	2	0	0	47	0	0	0	1514	86	2	1	1	8	0	1	447	0	0	2	109	346	479	1	17	0	3	2	189	0	3	0	34	267	2615	1497	5	0	1	0	1556	19	3	147	58	0	69	232	1048	0	11	0	572	0	0	0	226	3	147	71	13	3	31	1	95	0	0	0	171	150	78	31	4	4	0	0	590	0	0	0	140	238	0	6	5	0	1	9	0	98	0	19	0
Fungi;Glomeromycota;Glomeromycetes;?	311	0	0	0	18	275	64	194	1	2	0	0	36	0	0	0	716	8	3	3	2	2	0	0	697	0	1	0	50	13	1362	397	20	0	4	22	67	0	0	0	2	493	2425	774	1	0	2	0	1234	4	0	101	24	0	444	711	0	0	13	0	844	0	0	0	402	1	136	42	5	0	3	0	44	0	0	0	48	1	3	0	6	0	0	0	218	0	0	0	98	5	1	3	19	0	1	2	0	79	0	15	0
Fungi;Glomeromycota;Glomeromycetes;Diversisporales	19	0	0	0	1	0	35	0	0	0	0	0	1	0	0	0	33	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Fungi;Glomeromycota;Glomeromycetes;Glomerales	43	0	0	0	27	2777	14	938	3	1	0	0	16	0	0	0	899	89	152	0	1	10	0	0	6	0	0	2	193	59	1820	1	3	1	0	2	966	0	0	0	31	205	3320	842	7	0	1	0	1941	10	3	85	220	0	2001	260	1286	0	32	0	194	0	0	0	62	1	527	108	7	0	46	0	87	0	3	1	186	1	5	2	2	7	0	0	250	0	0	0	440	9	2	5	4	0	0	15	0	100	0	29	0
Fungi;Glomeromycota;Glomeromycetes;unidentified	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	137	0	0	0	44	0	0	0	13	0	1	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0
Fungi;Glomeromycota;unidentified;unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Incertae sedis;?;?	76	0	0	0	1	9	0	1	0	0	0	0	0	0	0	0	6	4	7	0	0	0	0	0	4	0	0	0	0	1	31	0	0	0	0	8	13	3	0	0	0	0	9	0	177	0	0	0	64	0	0	0	0	0	0	5	0	1	0	0	4	0	0	0	5	1	0	1	1	0	1	26	7	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	17	0	0	0	6	0	2	0	2	0	1	0
Fungi;Incertae sedis;Incertae sedis;Incertae sedis	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	4	1	0	1	0	12	0	165	0	0	0	0	0	11	0	0	0	1	19	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	480	4	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	2	0	8	0	2	0
Fungi;Rozellomycota;?;?	0	0	0	0	0	13	94	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Fungi;Rozellomycota;unidentified;?	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
Fungi;Rozellomycota;unidentified;unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Zygomycota;?;?	26	0	0	0	4	7	18	2	66	5	7	5	13	3	0	0	2	2	153	352	13	23	38	4	3	0	0	1	2	1	12	10	1	4	0	49	1	0	0	0	0	4	4	33	0	0	4	0	37	0	1	2	6	0	4	163	26	23	7	10	43	0	0	0	47	8	75	21	2	39	0	212	28	0	0	0	347	26	68	467	19	14	0	0	0	0	0	0	51	6	0	85	95	302	0	17	0	13	0	4	0
Fungi;Zygomycota;Incertae sedis;?	0	0	0	0	2435	1	1043	0	69	0	62	14	5	1	0	0	63	50	8	0	35	15	11	0	0	0	0	0	4	1	1991	1	4	0	5	1	204	0	0	0	15	2	29	0	1	0	3	0	8	0	0	1	79	0	1	0	38	0	0	0	0	0	0	0	7	29	4	35	2	0	0	437	1	0	0	0	39	0	168	198	0	9	0	0	0	0	0	0	47	51	2	0	1	8	0	8	0	52	0	19	0
Fungi;Zygomycota;Incertae sedis;Basidiobolales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Zygomycota;Incertae sedis;Mortierellales	38	0	5	0	82	22	1027	821	17	12	3	0	53	0	0	0	176	72	5	132	15	2	625	22	401	0	0	3	72	73	73	456	88	0	9	680	192	0	2	0	8	4	125	403	5	0	112	0	58	51	24	37	67	0	883	868	31	21	45	0	44	0	0	0	71	40	882	30	2	51	0	40	47	0	1	0	6	84	3	61	305	692	2	0	1870	0	0	0	72	263	8	98	54	8	0	22	0	89	0	20	0
Fungi;Zygomycota;Incertae sedis;Mucorales	47	0	0	0	2	2	48	353	83	0	16	916	2	0	0	0	0	39	77	82	24	202	92	157	6	0	0	0	6	1	3	170	29	50	5	134	26	0	0	0	0	11	105	130	0	0	9	2	94	0	8	8	73	0	15	100	321	18	10	21	0	0	0	0	1106	0	177	262	63	0	0	88	15	0	0	0	19	0	7	0	15	416	0	0	2	0	0	0	31	0	18	229	2	32	2	20	0	41	0	14	0
Fungi;unidentified;?;?	6	0	0	0	0	96	1	1	0	0	0	0	8	4	0	0	1	4	82	0	0	1	0	0	59	0	0	0	2	4	324	1	3	0	0	0	11	0	0	0	0	5	789	2	2	0	0	0	1	0	0	0	106	0	2175	5	3	9	0	0	12	0	0	0	15	1	2	14	1	0	5	11	0	0	0	0	7	0	183	0	1	0	0	0	1	0	0	0	74	2	0	2	0	69	0	0	0	11	0	19	0
Fungi;unidentified;unidentified;?	35	0	0	0	0	1	187	1354	39	0	0	1	5	0	0	0	0	19	4	2	2	1	726	0	2	0	0	0	3	95	24	0	0	2	0	7	7	0	0	0	801	0	29	0	2	0	33	0	441	0	1	0	1	0	6	18	0	1	2	0	2	0	0	0	2	109	13	19	1	0	0	0	826	0	0	0	0	0	1	1	3	10	0	0	0	0	0	0	22	166	0	290	1	33	0	10	0	96	0	16	0
Fungi;unidentified;unidentified;unidentified	112	0	1	3	14	199	2705	215	134	655	156	150	57	6	0	0	1379	298	1491	218	603	670	2843	52	454	14	0	2	984	262	729	58	1147	71	74	256	111	14	0	0	1475	97	204	1344	742	40	312	2	602	2	10	149	501	0	396	1044	858	661	441	63	151	0	0	2	3547	602	6776	146	727	268	3	207	132	0	0	0	241	40	289	602	98	401	0	0	123	4	0	0	221	217	69	343	139	1337	3	215	0	515	0	103	0
Protista;?;?;?	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protista;Cercozoa;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protista;Ciliophora;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
